run_id	relative_path	method	status	seed	episodes	renew_every	buffer_capacity	cost_source	lambda_scope	dual	tau	epsilon	lambda_max	penalty_weight	source_commit	legacy_path
dqn_fixed_ind_w10_re05_seed04	runs/fixed_indicator/dqn_fixed_ind_w10_re05_seed04	fixed_indicator	valid	4	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	10	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed4_re5_qind_w10
dqn_fixed_ind_w10_re05_seed05	runs/fixed_indicator/dqn_fixed_ind_w10_re05_seed05	fixed_indicator	valid	5	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	10	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed5_re5_qind_w10
dqn_fixed_ind_w10_re05_seed06	runs/fixed_indicator/dqn_fixed_ind_w10_re05_seed06	fixed_indicator	valid	6	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	10	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed6_re5_qind_w10
dqn_fixed_ind_w10_re05_seed07	runs/fixed_indicator/dqn_fixed_ind_w10_re05_seed07	fixed_indicator	valid	7	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	10	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed7_re5_qind_w10
dqn_fixed_ind_w20_re05_seed02	runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed02	fixed_indicator	valid	2	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	20	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed2_re5_qind_w20
dqn_fixed_ind_w20_re05_seed03	runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed03	fixed_indicator	valid	3	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	20	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed3_re5_qind_w20
dqn_fixed_ind_w20_re05_seed04	runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed04	fixed_indicator	valid	4	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	20	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed4_re5_qind_w20
dqn_fixed_ind_w20_re05_seed05	runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed05	fixed_indicator	valid	5	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	20	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed5_re5_qind_w20
dqn_fixed_ind_w20_re05_seed06	runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed06	fixed_indicator	valid	6	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	20	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed6_re5_qind_w20
dqn_fixed_ind_w20_re05_seed07	runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed07	fixed_indicator	valid	7	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	20	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed7_re5_qind_w20
